module,frac,noise
305254416,0.000868,9.889e-05
305254420,0.0008668,9.738e-05
305254424,0.0007951,0.0001021
305254428,0.0007056,9.813e-05
305254432,0.000643,9.675e-05
305258500,0.0006229,9.856e-05
305258504,0.0007258,0.0001019
305258508,0.0008171,0.0001035
305258512,0.0009055,0.0001029
305258516,0.000907,0.0001038
305258520,0.0008269,0.0001021
305258524,0.0007325,0.0001001
305258528,0.0006648,0.0001024
305262596,0.0006426,0.0001083
305262600,0.000704,0.0001094
305262604,0.0007934,0.0001036
305262608,0.0008724,0.0001089
305262612,0.0008725,0.0001049
305262616,0.0008001,0.00011
305262620,0.0007116,0.0001052
305262624,0.0006446,0.0001006
305266692,0.0006648,0.0001157
305266696,0.0007284,0.0001141
305266700,0.0008243,0.0001103
305266704,0.0009103,0.0001124
305266708,0.0009123,0.0001131
305266712,0.0008317,0.0001161
305266716,0.0007365,0.00011
305266720,0.000668,0.0001099
305270788,0.0006265,0.0001107
305270792,0.0006855,0.0001086
305270796,0.0007235,0.0001027
305270800,0.0008431,0.00011
305270804,0.0008423,0.000107
305270808,0.0007752,0.0001094
305270812,0.0006895,0.0001083
305270816,0.0006303,0.0001106
305274884,0.0006619,0.0001172
305274888,0.0007263,0.0001161
305274892,0.0008212,0.0001129
305274896,0.0009055,0.0001128
305274900,0.0009115,0.0001133
305274904,0.0008299,0.0001139
305274908,0.0007366,0.0001148
305274912,0.0006679,0.0001137
305278980,0.0006402,0.0001089
305278984,0.000704,0.0001095
305278988,0.0007924,0.0001112
305278992,0.000872,0.0001088
305278996,0.0008762,0.0001072
305279000,0.0007995,0.0001053
305279004,0.0007114,0.0001072
305279008,0.000649,0.0001055
305283092,0.0009085,0.0001026
305283096,0.0008276,0.0001035
305283100,0.0007346,0.000101
305283104,0.0006689,0.0001037
305287188,0.0008725,9.941e-05
305287192,0.0007978,9.99e-05
305287196,0.0007086,9.947e-05
305287200,0.0006438,9.631e-05
305291284,0.0009042,9.963e-05
305291288,0.0008254,9.529e-05
305291296,0.000663,9.506e-05
305295364,0.0006392,9.845e-05
305295368,0.0006992,0.0001008
305295372,0.0007853,0.0001001
305295376,0.0008692,9.989e-05
305295380,0.0008728,9.717e-05
305295384,0.0007964,9.86e-05
305295388,0.0007088,9.748e-05
305295392,0.0006441,9.36e-05
305299460,0.0006589,9.906e-05
305299464,0.0007219,9.758e-05
305299468,6.555e-06,7.238e-06
305299472,0.0009026,9.841e-05
305299476,0.0009056,9.894e-05
305299480,0.0008255,9.691e-05
305299484,0.0007318,9.808e-05
305299488,0.0006645,9.263e-05
305303556,0.0006371,9.739e-05
305303560,0.0006971,9.92e-05
305303564,0.000785,0.0001005
305303568,0.0008678,0.000101
305303572,0.0008688,0.0001026
305303576,0.0007956,9.886e-05
305303580,0.0007078,9.679e-05
305303584,0.000642,9.753e-05
305307652,0.000656,9.906e-05
305307656,0.0007179,0.0001006
305307660,0.000814,9.854e-05
305307664,0.0008979,9.774e-05
305307668,0.0008968,9.673e-05
305307672,0.0008241,9.899e-05
305307676,0.0007314,9.782e-05
305307680,0.000665,9.819e-05
305311748,0.000638,0.000105
305311752,0.0006997,0.0001023
305311756,0.0007855,0.0001029
305311760,0.0008678,0.0001046
305311764,0.0008703,0.0001013
305311768,0.0003987,5.157e-05
305311772,0.0007079,9.981e-05
305311776,0.0006408,0.0001001
305315844,0.0006566,0.0001046
305315848,0.0007207,0.0001057
305315852,0.0008105,0.0001066
305315856,0.0008981,0.0001011
305315860,0.0009017,0.0001053
305315864,0.0008218,0.0001033
305315868,0.0007296,0.0001026
305315872,0.0006626,0.0001023
306249732,0.0003807,6.488e-05
306249736,0.0004052,6.618e-05
306249740,0.0004314,6.116e-05
306249744,0.0004576,6.493e-05
306249748,0.0004549,6.272e-05
306249752,0.0004315,6.177e-05
306249756,0.0002565,4.361e-05
306249760,0.0003825,0.0001202
306253828,0.0003957,6.458e-05
306253832,0.0004219,6.558e-05
306253836,0.0004529,6.581e-05
306253840,0.0004785,6.5e-05
306253844,0.0004783,6.599e-05
306253848,0.0004554,6.259e-05
306253852,0.0004247,6.121e-05
306253856,0.000397,6.37e-05
306257924,0.0003877,6.6e-05
306257928,0.0004138,6.503e-05
306257932,0.0004433,6.549e-05
306257936,0.0004671,6.453e-05
306257940,0.0004633,6.56e-05
306257944,0.0004439,6.444e-05
306257948,0.0004157,6.505e-05
306257952,0.0003884,6.518e-05
306262020,0.0003956,6.731e-05
306262024,0.0004212,6.42e-05
306262028,0.0004535,6.154e-05
306262032,0.0004771,6.431e-05
306262036,0.0004794,6.71e-05
306262040,0.0004548,6.723e-05
306262044,0.000424,6.542e-05
306262048,0.0003971,6.481e-05
306266116,0.0003875,6.879e-05
306266120,0.0004124,6.488e-05
306266124,0.0004427,6.383e-05
306266128,0.0004655,6.565e-05
306266132,0.0004638,6.621e-05
306266136,0.0004429,6.364e-05
306266140,0.0004148,6.44e-05
306266144,0.0003889,6.475e-05
306270212,0.0003961,6.506e-05
306270216,0.0004219,6.454e-05
306270220,0.0004527,6.699e-05
306270224,0.0004776,6.783e-05
306270228,0.0004767,6.557e-05
306270232,0.000455,6.56e-05
306270236,0.0004244,6.598e-05
306270240,0.0003977,6.628e-05
306274308,0.0003855,6.667e-05
306274312,0.0004135,6.634e-05
306274316,0.00044,6.693e-05
306274320,0.0004634,6.417e-05
306274324,0.0004624,6.522e-05
306274328,0.0004432,6.755e-05
306274332,0.0004151,6.823e-05
306274336,0.0003879,6.649e-05
306278404,0.0003961,6.56e-05
306278408,0.0004201,6.479e-05
306278412,0.0004213,6.112e-05
306278416,0.000475,6.527e-05
306278420,0.0004742,6.694e-05
306278424,0.0004545,6.64e-05
306278432,0.0003969,6.624e-05
306282500,0.0003875,6.552e-05
306282504,0.0004127,6.507e-05
306282508,0.0004406,6.359e-05
306282512,0.0004643,6.439e-05
306282516,0.0004649,6.27e-05
306282520,0.0004432,6.567e-05
306282524,0.0004146,6.488e-05
306282528,0.0003876,6.361e-05
306286596,0.0003948,6.531e-05
306286600,0.0004223,6.498e-05
306286604,0.000453,6.591e-05
306286608,0.000475,6.651e-05
306286612,0.0004756,6.431e-05
306286616,0.0004536,6.392e-05
306286620,0.0004233,6.434e-05
306286624,0.0003979,6.484e-05
306290692,0.0003873,6.342e-05
306290696,0.0004106,6.563e-05
306290700,0.0004407,6.612e-05
306290704,0.0004643,6.199e-05
306290708,0.0004156,6.36e-05
306290712,0.0004428,6.315e-05
306290716,0.0004147,6.432e-05
306290720,0.0003871,6.416e-05
306294788,0.0003973,6.62e-05
306294792,0.0004217,6.546e-05
306294796,0.0004503,6.499e-05
306294800,0.0004737,6.435e-05
306294804,0.0004766,6.324e-05
306294808,0.0004539,6.575e-05
306294812,0.000423,6.507e-05
306294816,0.000396,6.467e-05
306298884,0.0003857,6.524e-05
306298888,0.0004094,6.281e-05
306298892,0.0004398,6.276e-05
306298896,0.0004631,6.3e-05
306298900,0.0004635,6.506e-05
306298904,0.0004422,6.466e-05
306298908,0.0004141,6.535e-05
306298912,0.0003886,6.534e-05
306302980,0.0003951,6.705e-05
306302984,0.0004206,6.63e-05
306302988,0.0004504,6.675e-05
306302992,0.0004729,6.432e-05
306302996,0.000474,6.267e-05
306303000,0.0004521,6.584e-05
306303004,0.0004226,6.491e-05
306303008,0.0003977,6.492e-05
306307076,0.0003859,6.345e-05
306307080,0.000412,6.478e-05
306307084,0.0004413,6.487e-05
306307088,0.0004638,6.308e-05
306307092,0.0004652,6.367e-05
306307096,0.0004419,6.359e-05
306307100,0.0004135,6.55e-05
306307104,0.0003886,6.553e-05
306311172,0.0003911,6.535e-05
306311176,0.0004228,6.438e-05
306311180,0.0004492,6.58e-05
306311184,0.0004744,6.508e-05
306311192,0.000455,6.366e-05
306311196,0.0004252,6.714e-05
306311200,0.0003961,6.881e-05
306315268,0.0003851,6.884e-05
306315272,0.0004107,6.458e-05
306315276,0.00044,6.572e-05
306315280,0.0004615,6.528e-05
306315284,0.0004648,6.609e-05
306315288,0.0004424,6.408e-05
306315292,0.0003923,6.302e-05
306315296,0.0003885,6.572e-05
306319364,0.0003956,6.446e-05
306319368,0.0004224,6.483e-05
306319372,0.0004528,6.301e-05
306319376,0.000476,6.646e-05
306319380,0.0004755,6.592e-05
306319384,0.0004546,6.773e-05
306319388,0.0004264,6.449e-05
306319392,0.0003966,6.574e-05
306323460,0.0003891,6.759e-05
306323464,0.0004139,6.793e-05
306323468,0.0004414,6.679e-05
306323472,0.0004657,6.68e-05
306323476,0.0004646,6.765e-05
306323480,0.0004446,6.446e-05
306323484,0.0004166,6.755e-05
306323488,0.0003887,6.46e-05
306327556,0.0003976,6.767e-05
306327560,0.0004221,6.663e-05
306327564,0.0004533,6.525e-05
306327568,0.000477,6.446e-05
306327572,0.0004761,6.425e-05
306327576,0.0004543,6.516e-05
306327580,0.0004011,6.131e-05
306327584,0.0003983,6.46e-05
306331652,0.0003888,6.49e-05
306331656,0.0004153,6.319e-05
306331660,0.0004414,6.651e-05
306331664,0.0004659,6.42e-05
306331668,0.0004653,6.77e-05
306331672,0.000445,6.731e-05
306331676,0.0004158,6.467e-05
306331680,0.0003889,6.571e-05
306335748,0.0003988,6.748e-05
306335752,0.000425,6.511e-05
306335756,0.0004486,5.781e-05
306335760,0.0004809,6.932e-05
306335764,0.0004756,6.646e-05
306335768,0.0004551,6.492e-05
306335772,0.0004254,6.598e-05
306335776,0.0003998,6.72e-05
306339844,0.0003895,6.816e-05
306339848,0.0004147,6.786e-05
306339852,0.0004424,6.672e-05
306339856,0.0004673,6.738e-05
306339860,0.0004646,6.572e-05
306339864,0.0004445,6.456e-05
306339868,0.000418,6.753e-05
306339872,0.0003907,6.809e-05
306343940,0.0004005,6.933e-05
306343944,0.0004247,6.754e-05
306343952,0.0004818,6.701e-05
306343956,0.0004796,6.535e-05
306343960,0.0004555,6.588e-05
306343964,0.0004282,7.006e-05
306343968,0.0003999,6.505e-05
306348036,0.0003918,6.836e-05
306348040,0.0004158,6.684e-05
306348044,0.0004464,6.526e-05
306348048,0.0004694,6.741e-05
306348052,0.0004662,6.466e-05
306348056,0.0004463,6.683e-05
306348060,0.0004169,6.652e-05
306348064,0.0003895,6.753e-05
306352132,0.0004005,6.903e-05
306352136,0.0004268,6.617e-05
306352140,0.0004568,6.516e-05
306352144,0.00048,6.655e-05
306352148,0.0004787,6.488e-05
306352152,0.0004555,6.607e-05
306352156,0.0004275,6.529e-05
306352160,0.0004001,6.578e-05
306356228,0.0003895,6.621e-05
306356232,0.0004165,6.533e-05
306356236,0.0004464,8.389e-05
306356240,0.0004681,6.543e-05
306356244,0.0004673,6.329e-05
306356248,0.0004461,6.532e-05
306356252,0.0004172,6.49e-05
306356256,0.0003913,6.451e-05
306360328,0.000426,6.479e-05
306360332,0.0004578,6.166e-05
306360336,0.0004826,6.6e-05
306360340,0.0004815,0.0001279
306360344,0.0004578,6.329e-05
306360348,0.0004284,6.547e-05
306360352,0.0003993,6.334e-05
306364420,0.0003913,6.523e-05
306364424,0.0004154,6.605e-05
306364428,0.0004454,6.583e-05
306364432,0.0004681,6.538e-05
306364436,0.0004101,5.533e-05
306364440,0.0004463,6.296e-05
306364444,0.0004182,6.432e-05
306368516,0.0003987,6.744e-05
306368520,0.0004259,6.22e-05
306368524,0.0004578,6.329e-05
306368528,0.0004832,6.548e-05
306368532,0.0004808,6.34e-05
306368536,0.0004595,6.466e-05
306368540,0.0004285,6.493e-05
306368544,0.0004009,6.54e-05
306372612,0.0003915,6.501e-05
306372616,0.0004172,6.463e-05
306372620,0.0004469,6.527e-05
306372624,0.0004709,6.347e-05
306372628,0.0004706,6.372e-05
306372632,0.0004489,6.249e-05
306372636,0.0004188,6.214e-05
306372640,0.0003913,6.367e-05
306376708,0.0004001,6.5e-05
306376712,0.0004281,6.415e-05
306376716,0.0004598,6.394e-05
306376720,0.0004849,6.46e-05
306376724,0.0004842,6.41e-05
306376728,0.0004618,6.52e-05
306376732,0.0004321,6.462e-05
306376736,0.0004004,6.623e-05
306380804,0.0003829,6.338e-05
306380808,0.0004094,6.368e-05
306380812,0.0004389,6.325e-05
306380816,0.0004637,6.295e-05
306380820,0.0004603,6.517e-05
306380824,0.0004402,6.548e-05
306380828,0.0004126,6.51e-05
306380832,0.0003844,6.704e-05
306384900,0.0003991,6.45e-05
306384904,0.0004285,6.404e-05
306384908,0.0004593,6.338e-05
306384912,0.0004826,6.354e-05
306384916,0.0004822,6.472e-05
306384920,0.0004611,6.304e-05
306384924,0.0004312,6.352e-05
306384928,0.0004015,6.589e-05
306388996,0.0003914,6.631e-05
306389000,0.0004184,6.384e-05
306389004,0.0004464,6.441e-05
306389008,0.0004714,6.47e-05
306389012,0.0004699,6.302e-05
306389016,0.0004496,6.393e-05
306389020,0.0004224,6.445e-05
306389024,0.0003921,6.412e-05
306393092,0.0003986,6.642e-05
306393096,0.0004271,6.544e-05
306393100,0.0004573,6.66e-05
306393104,0.0004831,6.404e-05
306393108,0.0004824,6.611e-05
306393112,0.0004602,6.581e-05
306393116,0.0004301,6.344e-05
306393120,0.0004014,6.606e-05
306397188,0.0003894,6.832e-05
306397192,0.0004141,6.495e-05
306397196,0.0004453,6.296e-05
306397200,0.000471,6.401e-05
306397204,0.0004677,6.508e-05
306397208,0.000448,6.56e-05
306397212,0.0004196,6.658e-05
306397216,0.0003912,6.635e-05
306401300,0.0004829,6.751e-05
306401304,0.0004591,6.372e-05
306401308,0.0004299,6.407e-05
306401312,0.0004034,6.426e-05
306405396,0.0004696,6.278e-05
306405400,0.0004447,6.355e-05
306405404,0.0004171,6.307e-05
306405408,0.0003935,6.208e-05
306409492,0.0004805,6.255e-05
306409496,0.0004595,6.441e-05
306409500,0.0004293,6.48e-05
306409504,0.0004014,6.64e-05
306413588,0.0004664,6.425e-05
306413592,0.0004441,6.448e-05
306413596,0.0004177,6.426e-05
306413600,0.0003909,6.689e-05
306417668,0.0004011,6.584e-05
306417672,0.0004254,6.441e-05
306417676,0.0004563,6.508e-05
306417680,0.0004811,6.559e-05
306417684,0.0004824,6.639e-05
306417688,0.0004611,6.626e-05
306417692,0.0004311,6.618e-05
306417696,0.0004049,6.463e-05
306421764,0.0003893,6.535e-05
306421768,0.0004136,6.69e-05
306421772,0.0004463,6.613e-05
306421776,0.0004676,6.548e-05
306421780,0.0004682,6.628e-05
306421784,0.000447,6.703e-05
306421788,0.0004202,6.486e-05
306421792,0.0003926,6.596e-05
306425860,0.0003991,6.543e-05
306425864,0.0004238,6.629e-05
306425868,0.0004564,6.593e-05
306425872,0.0004802,6.625e-05
306425876,0.0004804,6.421e-05
306425880,0.0004612,6.435e-05
306425884,0.0004309,6.578e-05
306425888,0.0004032,6.413e-05
306429956,0.0003893,6.534e-05
306429960,0.000414,6.577e-05
306429964,0.0004447,6.369e-05
306429968,0.0004673,6.53e-05
306429972,0.0004679,6.469e-05
306429976,0.0004488,6.699e-05
306429980,0.0004174,6.347e-05
306429984,0.0003941,6.523e-05
306434052,0.0004003,6.582e-05
306434056,0.0004254,6.513e-05
306434060,0.0004568,6.451e-05
306434064,0.0004792,6.197e-05
306434068,0.0004816,6.53e-05
306434072,0.0004602,6.572e-05
306434076,0.0004305,6.554e-05
306434080,0.0004024,6.529e-05
306438148,0.0003911,6.691e-05
306438152,0.0004134,6.484e-05
306438156,0.0004438,6.277e-05
306438160,0.0004689,6.265e-05
306438164,0.0004691,6.597e-05
306438168,0.0004485,6.539e-05
306438172,0.0004202,6.437e-05
306438176,0.000393,6.439e-05
306442244,0.0003988,6.615e-05
306442248,0.0004279,6.458e-05
306442252,0.0004552,6.492e-05
306442256,0.0004824,6.713e-05
306442260,0.0004825,6.694e-05
306442264,0.0004602,6.695e-05
306442268,0.0004308,6.524e-05
306446340,0.0003872,6.903e-05
306446344,0.0004153,6.661e-05
306446348,0.0004433,6.495e-05
306446352,0.0004682,6.7e-05
306446356,0.0004694,6.591e-05
306446360,0.0004481,6.789e-05
306446364,0.0004194,6.764e-05
306446368,0.0003908,6.741e-05
344212484,0.002181,0.0004341
344216580,0.002191,0.0007606
344224772,0.002092,0.0003794
344228868,0.002094,0.0004024
344237060,0.002057,0.0005004
344238084,0.001057,0.0002438
344241156,0.00203,0.0005227
344249348,0.002034,0.0004908
344253444,0.00204,0.0004469
344261636,0.002123,0.0004065
344262660,0.002108,0.000404
344265732,0.00215,0.0006696
344273924,0.00206,0.0004347
344282116,0.002184,0.0004258
344283140,0.002178,0.0004438
344290308,0.0007838,0.0001598
344291332,0.0007766,0.0001661
344294404,0.0007756,0.0001924
344295428,0.0007794,0.0001485
344298500,0.00078,0.0001479
344299524,0.0007813,0.0001997
344302596,0.0007792,0.0001501
344303620,0.0007826,0.0002174
344306692,0.0007884,0.0001476
344307716,0.0007917,0.0001606
344310788,0.0007906,0.0001437
344311812,0.0007958,0.0001491
344314884,0.0007837,0.0001451
344315908,0.0007925,0.0001392
344318980,0.0007835,0.0001393
344320004,0.0007798,0.000143
344323076,0.0007731,0.0001346
344324100,0.0007817,0.0001317
344327172,0.000753,0.0001383
344331268,0.0007678,0.0001346
344335364,0.0007628,0.0001433
344339460,0.000762,0.0001404
344343556,0.0007594,0.0001371
344344580,0.0007657,0.0001398
344347652,0.0007546,0.0001368
